Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
Kotanyi - Skórka pomara?czowa krojona,Owoce suszone i orzechy,Kotanyi - Sliced orange peel,Dried fruits and nuts,Kotanyi - Zeste d&#39;orange en tranches,Fruits secs et noix
Kotanyi - Szafran oryginalny,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Original saffron,"Salt, spices and culinary herbs",Kotanyi - safran original,"Sel, épices et herbes culinaires"
Kotanyi - Sza?wia ci?ta,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Cut sage,"Salt, spices and culinary herbs",Kotanyi - Sauge coupée,"Sel, épices et herbes culinaires"
Kotanyi - Sól morska jodowana m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Iodized sea salt grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à sel marin iodé,"Sel, épices et herbes culinaires"
Kotanyi - Sól ró?owa niejodowana,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Pink non-iodized salt,"Salt, spices and culinary herbs",Kotanyi - Sel rose non iodé,"Sel, épices et herbes culinaires"
Kotanyi - Sól z Kopalini Soli Wieliczka jodowana,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Iodized Salt from Kopalini Wieliczka,"Salt, spices and culinary herbs",Kotanyi - Sel iodé de Kopalini Wieliczka,"Sel, épices et herbes culinaires"
Kotanyi - Sól z kopalni Wieliczka,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Salt from the Wieliczka mine,"Salt, spices and culinary herbs",Kotanyi - Sel de la mine de Wieliczka,"Sel, épices et herbes culinaires"
Kotanyi - Sól zio?owo czosnkowa m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Herb and garlic salt grinder,"Salt, spices and culinary herbs",Kotanyi - Salière d&#39;herbes et d&#39;ail,"Sel, épices et herbes culinaires"
Kotanyi - Wanilia w laskach,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Vanilla in sticks,"Salt, spices and culinary herbs",Kotanyi - Vanille en bâtonnets,"Sel, épices et herbes culinaires"
Kotanyi - Zio?a dalmaty?skie,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Dalmatian herbs,"Salt, spices and culinary herbs",Kotanyi - herbes dalmates,"Sel, épices et herbes culinaires"
Kotanyi - Zio?a provansalskie m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Herbes de Provence grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à Herbes de Provence,"Sel, épices et herbes culinaires"
Kotanyi - Zio?a tajskie mieszanka przypraw,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Thai herbs spice mix,"Salt, spices and culinary herbs",Kotanyi - Mélange d&#39;épices aux herbes thaïlandaises,"Sel, épices et herbes culinaires"
Kotanyi - Zio?a w?oskie m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Italian herbs grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à herbes italien,"Sel, épices et herbes culinaires"
Kotlin - Ketchup czosnek-bazylia,"Sosy, przyprawy",Kotlin - Garlic ketchup and basil,"Sauces, spices",Kotlin - Ketchup à l&#39;ail et au basilic,"Sauces, Epices"
Kotlin - Ketchup pikantny,"Sosy, przyprawy",Kotlin - Spicy ketchup,"Sauces, spices",Kotlin - ketchup épicé,"Sauces, Epices"
Kotlin - Ketchup ?agodny,"Sosy, przyprawy",Kotlin - Mild ketchup,"Sauces, spices",Kotlin - ketchup doux,"Sauces, Epices"
Kotlina Natury - Jaja z chowu ekologicznego,Jaja,Kotlina Natury - Eggs from organic farming,eggs,Kotlina Natury - Œufs issus de l&#39;agriculture biologique,œufs
Kotlina Natury - Jaja z chowu na wolnym wybiegu,Jaja,The Kotlina Natury - Free-range eggs,eggs,Kotlina Natury - Œufs élevés en liberté,œufs
Kotlina Natury - Jaja z chowu ?ció?kowego kl.L,Jaja,"Kotlina Natury - Eggs from barn farming, class L.",eggs,"Kotlina Natury - Œufs d’élevage en stabulation, classe L.",œufs
Kotlina Natury - Jaja z wolnego wybiegu kl.L,Jaja,"Kotlina Natury - Eggs from free range, class L.",eggs,"Kotlina Natury - Oeufs de gamme libre, classe L.",œufs
Kotwica - Pierogi Ruskie,Gotowe dania,Anchor - Russian dumplings,Prepared dishes,Ancre - Raviolis russes,Plats cuisinés
Kotwica - Pierogi z soczewic?,Gotowe dania,Anchor - Dumplings with lentils,Prepared dishes,Ancre - Dumplings aux lentilles,Plats cuisinés
Kotányi - Pieprz czarny m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotányi - Black pepper mill,"Salt, spices and culinary herbs",Kotányi - Moulin à poivre noir,"Sel, épices et herbes culinaires"
Kotányi - Pieprz kolorowy m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotányi - Colorful pepper mill,"Salt, spices and culinary herbs",Kotányi - Moulin à poivre coloré,"Sel, épices et herbes culinaires"
"Kotányi - Sól z Kopalni Soli ""K?odawa""","Sól, przyprawy korzenne i zio?a kulinarne",Kotányi - Salt from the &quot;K?odawa&quot; Salt Mine,"Salt, spices and culinary herbs",Kotányi - Sel de la mine de sel &quot;K?odawa&quot;,"Sel, épices et herbes culinaires"
Kozynak - Cha?wa s?onecznikowa o smaku wanilinowym,Wyroby cukiernicze,Kozynak - Sunflower halva with vanilla flavor,Confectionery,Kozynak - Halva de tournesol à la vanille,Confiserie
Kraina Kiszonek - Kapusta kiszona ekologiczna,Warzywa suszone i pozosta?e przetwory warzywne,Kraina Kiszonek - Organic sauerkraut,Dried vegetables and other vegetable preserves,Kraina Kiszonek - Choucroute Bio,Légumes secs et autres préparations à base de légumes
Kraina Kiszonek - Ogórki kiszone ekologiczne,Warzywa suszone i pozosta?e przetwory warzywne,Kraina Kiszonek - Organic pickled cucumbers,Dried vegetables and other vegetable preserves,Kraina Kiszonek - Concombres marinés bio,Légumes secs et autres préparations à base de légumes
Krakus - Barszcz czerwony koncentrat,Warzywa suszone i pozosta?e przetwory warzywne,Krakus - Red borscht concentrate,Dried vegetables and other vegetable preserves,Krakus - Concentré de bortsch rouge,Légumes secs et autres préparations à base de légumes
Krakus - Barszcz czerwony w kartonie,Gotowe dania,Krakus - Red borscht in a carton,Prepared dishes,Krakus - Bortsch rouge dans un carton,Plats cuisinés
Krakus - Chrzan,Warzywa suszone i pozosta?e przetwory warzywne,Krakus - Horseradish,Dried vegetables and other vegetable preserves,Krakus - Raifort,Légumes secs et autres préparations à base de légumes
Krakus - Gulasz angielski wieprzowy,Pozosta?e przetwory mi?sne,Krakus - English pork goulash,Other meat preparations,Krakus - goulache de porc anglaise,Autres préparations de viande
Krakus - Gulasz wieprzowy konserwa,Pozosta?e przetwory mi?sne,Krakus - canned goulash,Other meat preparations,Krakus - goulache en conserve,Autres préparations de viande
Krakus - Kabanosy wieprzowe,W?dliny,Krakus - Pork kabanos,meats,Krakus - Kabanos au porc,viandes
Krakus - Kie?basa Krakowska sucha,W?dliny,Krakus - Krakowska dry sausage,meats,Krakus - saucisse sèche de Krakowska,viandes
Krakus - Kie?basa ?ywiecka wieprzowa,W?dliny,Krakus - ?ywiecka pork sausage,meats,Krakus - saucisse de porc ?ywiecka,viandes
Krakus - Mielonka luksusowa wieprzowa,Pozosta?e przetwory mi?sne,Krakus - Luxurious pork luncheon meat,Other meat preparations,Krakus - viande de porc de luxe,Autres préparations de viande
Krakus - Parówki z szynki,W?dliny,Krakus - Ham sausages,meats,Krakus - Saucisses au jambon,viandes
Krakus - Pasztet z pieca klasyczny,Pozosta?e przetwory mi?sne,Krakus - Classic oven pate,Other meat preparations,Krakus - Pâté au four classique,Autres préparations de viande
Krakus - Szynka Konserwowa 455 g,W?dliny,Krakus - Canned Ham 455 g,meats,Krakus - Jambon En Conserve 455 g,viandes
Krakus - Szynka Premium,Pozosta?e przetwory mi?sne,Krakus - Premium Ham,Other meat preparations,Krakus - Jambon Premium,Autres préparations de viande
Krakus - Szynka eksportowa plastry,W?dliny,Krakus - Exported ham slices,meats,Krakus - Tranches de jambon exportées,viandes
Krakus - Turystyczna luksusowa wieprzowa,Pozosta?e przetwory mi?sne,Krakus - Luxurious tourist pork,Other meat preparations,Krakus - Porc touristique de luxe,Autres préparations de viande
Krakus - Wieprzowina w sosie w?asnym,Pozosta?e przetwory mi?sne,Krakus - Pork in its own sauce,Other meat preparations,Krakus - Porc dans sa propre sauce,Autres préparations de viande
Krakus - Zupa ?urek,Pozosta?e produkty zbo?owe,Krakus - Sour soup,Other cereal products,Krakus - Soupe aigre,Autres produits céréaliers
Krakuski - Florianki herbatniki w czekoladzie mlecznej 171g,Pozosta?e wyroby piekarskie,Krakuski - Florianki biscuits in milk chocolate 171g,Other bakery products,Krakuski - Biscuits Florianki au chocolat au lait 171g,Autres produits de boulangerie
Krakuski - Herbatniki Deserowe z cukrem,Pozosta?e wyroby piekarskie,Krakuski - Dessert Biscuits with sugar,Other bakery products,Krakuski - Biscuits Desserts au sucre,Autres produits de boulangerie
Krakuski - Herbatniki Kakaowe,Pozosta?e wyroby piekarskie,Krakuski - Cocoa Biscuits,Other bakery products,Krakuski - Biscuits au cacao,Autres produits de boulangerie
Krakuski - Herbatniki Kokosowe,Pozosta?e wyroby piekarskie,Krakuski - Coconut Biscuits,Other bakery products,Krakuski - Biscuits à la noix de coco,Autres produits de boulangerie
Krakuski - Herbatniki Petit Buerre,Pozosta?e wyroby piekarskie,Krakuski - Biscuits Petit Buerre,Other bakery products,Krakuski - Biscuits Petit Buerre,Autres produits de boulangerie
Krakuski - Herbatniki Petit Buerre petit beurre,Pozosta?e wyroby piekarskie,Krakuski - Biscuits Petit Buerre petit beurre,Other bakery products,Krakuski - Biscuits Petit Buerre petit beurre,Autres produits de boulangerie
Krakuski - Herbatniki o smaku ma?lanym,Pozosta?e wyroby piekarskie,Krakuski - Butter flavor biscuits,Other bakery products,Krakuski - Biscuits au beurre,Autres produits de boulangerie
Krakuski - Herbatniki zbo?owe z p?atkami owianymi 201 g,Pozosta?e wyroby piekarskie,Krakuski - Cereal biscuits with cereals 201 g,Other bakery products,Krakuski - Biscuits aux céréales avec des céréales 201 g,Autres produits de boulangerie
Krakuski - Paluszki z karmelem w czekoladzie mlecznej,Pozosta?e wyroby piekarskie,Krakuski - Sticks with caramel in milk chocolate,Other bakery products,Krakuski - Sticks au caramel au chocolat au lait,Autres produits de boulangerie
Krakuski - ?mietankowe herbatniki z kremem o smaku ?mietankow...,Pozosta?e wyroby piekarskie,Krakuski - Cream biscuits with cream with a cream flavor ...,Other bakery products,Krakuski - Biscuits à la crème avec une crème à la crème ...,Autres produits de boulangerie
Krasnystaw - Ch?odnik,Pozosta?e produkty mleczne,Krasnystaw - Ch?odnik,Other dairy products,Krasnystaw - Ch?odnik,Autres produits laitiers
"Krasnystaw - Jogurt naturalny wap?, probiotyk",Jogurt,"Krasnystaw - Natural yogurt, calcium, probiotic",Yoghurt,"Krasnystaw - Yaourt naturel, calcium, probiotique",yaourt
Krasnystaw - Kefir luksusowy,Pozosta?e produkty mleczne,Krasnystaw - Luxurious kefir,Other dairy products,Krasnystaw - kéfir de luxe,Autres produits laitiers
Krasnystaw - Mleko zsiad?e,Pozosta?e produkty mleczne,Krasnystaw - Curdled milk,Other dairy products,Krasnystaw - lait caillé,Autres produits laitiers
Krasnystaw - Ser Twarogowy pó?t?usty,Sery i twarogi,Krasnystaw - Semi-fat cottage cheese,Cheese and curd,Krasnystaw - fromage cottage demi-gras,Fromage et caillé
Krasnystaw - Serek wiejski,Sery i twarogi,Krasnystaw - Cottage cheese,Cheese and curd,Krasnystaw - fromage cottage,Fromage et caillé
Krasnystaw - mas?o ekstra 82% t?uszczu,Mas?o,Krasnystaw - butter extra 82% fat,Butter,Krasnystaw - beurre extra 82% de graisse,beurre
Kresto - Chipsy bananowe,Owoce suszone i orzechy,Kresto - Banana chips,Dried fruits and nuts,Kresto - chips de banane,Fruits secs et noix
Kresto - Migda?y,Owoce suszone i orzechy,Kresto - Almonds,Dried fruits and nuts,Kresto - Amandes,Fruits secs et noix
Kresto - Orzechy laskowe,Owoce suszone i orzechy,Kresto - Hazelnuts,Dried fruits and nuts,Kresto - Noisettes,Fruits secs et noix
Kresto - Orzechy piniowe,Owoce suszone i orzechy,Kresto - Pine nuts,Dried fruits and nuts,Kresto - Pignons,Fruits secs et noix
Kresto - Orzechy w?oskie,Owoce suszone i orzechy,Kresto - Walnuts,Dried fruits and nuts,Kresto - Noix de Grenoble,Fruits secs et noix
Kresto - Orzechy w?oskie ?uszczone,Owoce suszone i orzechy,Kresto - Hulled walnuts,Dried fruits and nuts,Kresto - Noix décortiquées,Fruits secs et noix
Kresto - Pestki dyni,Owoce suszone i orzechy,Kresto - Pumpkin seeds,Dried fruits and nuts,Kresto - Graines de citrouille,Fruits secs et noix
Kresto - Sezam ?uskany,Owoce suszone i orzechy,Kresto - Shelled sesame,Dried fruits and nuts,Kresto - Sésame décortiqué,Fruits secs et noix
Kresto - Wiórki kokosowe,Owoce suszone i orzechy,Kresto - Coconut flakes,Dried fruits and nuts,Kresto - Flocons de noix de coco,Fruits secs et noix
Kresto - Ziarno s?onecznika ?uskany,Owoce suszone i orzechy,Kresto - Shelled sunflower seeds,Dried fruits and nuts,Kresto - Graines de tournesol décortiquées,Fruits secs et noix
Kresto - ?liwki suszone,Owoce suszone i orzechy,Kresto - Dried plums,Dried fruits and nuts,Kresto - Prunes séchées,Fruits secs et noix
Kropla Beskidu - Mineralna woda gazowana,Wody mineralne lub ?ródlane,Kropla Beskidu - Mineral sparkling water,Mineral or spring waters,Kropla Beskidu - Eau gazeuse minérale,Eaux minérales ou sources
"Kropla Beskidu - Mineralna woda gazowana 6 x 1,5L",Wody mineralne lub ?ródlane,Kropla Beskidu - Mineral sparkling water 6 x 1.5L,Mineral or spring waters,Kropla Beskidu - Eau gazeuse minérale 6 x 1.5L,Eaux minérales ou sources
"Kropla Beskidu - Mineralna woda niegazowana 12 x 0,5L",Wody mineralne lub ?ródlane,Kropla Beskidu - Mineral still water 12 x 0.5L,Mineral or spring waters,Kropla Beskidu - Eau minérale plate 12 x 0.5L,Eaux minérales ou sources
Kropla Beskidu - Sport mineralna woda niegazowana 12 x 750 ml,Wody mineralne lub ?ródlane,Kropla Beskidu - Sport still mineral water 12 x 750 ml,Mineral or spring waters,Kropla Beskidu - Eau minérale plate de sport 12 x 750 ml,Eaux minérales ou sources
"Kropla Beskidu - mineralna woda niegazowana 6 x 1,5L",Wody mineralne lub ?ródlane,Kropla Beskidu - still mineral water 6 x 1.5L,Mineral or spring waters,"Kropla Beskidu - eau minérale plate 6 x 1,5 L",Eaux minérales ou sources
Kruger - Naturalnie b?onnik jab?kowy,M?ka i pozosta?e zbo?a,Kruger - Naturally apple fiber,Flour and other cereals,Kruger - Naturellement fibre de pomme,Farine et autres céréales
Kruszwicki - Olej rzepakowy,Pozosta?e oleje jadalne,Kruszwicki - Rapeseed oil,Other edible oils,Kruszwicki - Huile de colza,Autres huiles comestibles
Krynka - Kwas chlebowy gazowany bezalkoholowy,Napoje orze?wiaj?ce,Krynka - Non-alcoholic carbonated bread acid,Refreshing drinks,Krynka - acide de pain carbonaté sans alcool,Boissons rafraîchissantes
Krüger - Herbata  granulowana malinowa,Herbata,Krüger - Raspberry granulated tea,Tea,Krüger - Thé granulé à la framboise,thé
Krüger - Herbata granulowana cytrynowa,Herbata,Krüger - Lemon granulated tea,Tea,Krüger - Thé granulé au citron,thé
Kubu? - Mus z owoców 100% banan,Soki owocowe i warzywne,Winnie - 100% banana fruit mousse,Fruit and vegetable juices,Winnie - Mousse 100% banane,Jus de fruits et de légumes
Kubu? - Mus z owoców 100% jab-banan-march-truskawka,Soki owocowe i warzywne,Kubu? - 100% apple-banana-march-strawberry mousse,Fruit and vegetable juices,Kubu? - Mousse 100% pomme-banane-mars-fraise,Jus de fruits et de légumes
Kubu? - Mus z owoców 100% jab?ko banan bez dodatku cukru,Soki owocowe i warzywne,Kubu? - Fruit mousse 100% apple banana with no added sugar,Fruit and vegetable juices,Kubu? - Mousse aux fruits 100% banane pomme sans sucre ajouté,Jus de fruits et de légumes
Kubu? - Napój Go! malina-jab?ko-marchew,Soki owocowe i warzywne,Winnie - Drink him! raspberry-apple-carrot,Fruit and vegetable juices,Winnie - Bois le! framboise-pomme-carotte,Jus de fruits et de légumes
"Kubu? - Napój Play marchew, pomara?cza i limetka",Soki owocowe i warzywne,"Winnie - Play drink carrot, orange and lime",Fruit and vegetable juices,"Winnie - Play drink carotte, orange et citron vert",Jus de fruits et de légumes
"Kubu? - Sok Go! banan, marchew, jab?ko",Soki owocowe i warzywne,"Winnie - Sok Go! banana, carrot, apple",Fruit and vegetable juices,"Winnie - Sok Go! banane, carotte, pomme",Jus de fruits et de légumes
"Kubu? - Sok banan, jab?ko i brzoskwinia",Soki owocowe i warzywne,"Winnie - banana, apple and peach juice",Fruit and vegetable juices,"Winnie - jus de banane, de pomme et de pêche",Jus de fruits et de légumes
"Kubu? - Sok banan, marchew i jab?ko",Soki owocowe i warzywne,"Kubu? - Banana, carrot and apple juice",Fruit and vegetable juices,"Kubu? - Jus de banane, carotte et pomme",Jus de fruits et de légumes
Kubu? - Sok jab?kowy 100% z zag?szczonego soku jab?kowego,Soki owocowe i warzywne,Kubu? - Apple juice 100% from concentrated apple juice,Fruit and vegetable juices,Kubu? - Jus de pomme 100% à base de jus de pomme concentré,Jus de fruits et de légumes
"Kubu? - Sok marchew, brzoskwinia i jab?ko",Soki owocowe i warzywne,"Kubu? - Carrot, peach and apple juice",Fruit and vegetable juices,"Kubu? - Jus de carotte, de pêche et de pomme",Jus de fruits et de légumes
"Kubu? - Sok marchew, jab?ko i brzoskwinia",Soki owocowe i warzywne,"Kubu? - Carrot, apple and peach juice",Fruit and vegetable juices,"Kubu? - Jus de carotte, pomme et pêche",Jus de fruits et de légumes
"Kubu? - Sok marchew, jab?ko i malina",Soki owocowe i warzywne,"Kubu? - Carrot, apple and raspberry juice",Fruit and vegetable juices,"Kubu? - Jus de carotte, pomme et framboise",Jus de fruits et de légumes
"Kubu? - Sok marchew, jab?ko i pomara?cza",Soki owocowe i warzywne,"Kubu? - Carrot, apple and orange juice",Fruit and vegetable juices,"Kubu? - Jus de carotte, pomme et orange",Jus de fruits et de légumes
Kubu? - Woda Waterr cytrynowa niegazowana,Napoje orze?wiaj?ce,Kubu? - Still waterr lemon water,Refreshing drinks,Kubu? - Eau de citron toujours aquatique,Boissons rafraîchissantes
